2026-04-19 01:30:17,333 [INFO] Reading raw offers from C:\Users\marouane\Desktop\FindJob\transformers\data\adzuna_raw.json
2026-04-19 01:30:17,352 [INFO] Loaded 1000 raw offers
2026-04-19 01:30:17,434 [INFO] Transformed offer | poste='Data Engineer' | societe='Armée de l’air et de l’espace' | lieu='Mont-de-Marsan, Landes' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,436 [INFO] Transformed offer | poste='Data Engineer / Data Scientist (IT)' | societe='ONSPARK' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,439 [INFO] Transformed offer | poste='Data Engineer Databricks – H/F' | societe='Synchrone Fr' | lieu='Ile-de-France, France' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,440 [INFO] Transformed offer | poste='Data Engineer - H/F' | societe='E.Leclerc' | lieu='Castelnaudary, Carcassonne' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,442 [INFO] Transformed offer | poste='Data analyst' | societe='5 Degrés' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,443 [INFO] Transformed offer | poste='Senior Data Scientist' | societe='Hlx Life Sciences' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,445 [INFO] Transformed offer | poste='Data Scientist' | societe='Free-Work' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,446 [INFO] Transformed offer | poste='Software Engineer – Big Data (H/F)' | societe='DGSE - Direction Générale de la Sécurité Extérieure' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,448 [INFO] Transformed offer | poste='Data analyst (f/h) (CDI)' | societe='MICHAEL PAGE' | lieu='Taverny, Pontoise' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,449 [INFO] Transformed offer | poste='Data Scientist H/F' | societe='Crédit Agricole Personal Finance & Mobility' | lieu='Massy, Palaiseau' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,451 [INFO] Transformed offer | poste='Data engineer h/f (CDI)' | societe="Mercato de l'emploi" | lieu='Gironde, Nouvelle-Aquitaine' | contrat=CDI | seniorite=Confirmé | tech=0
2026-04-19 01:30:17,452 [INFO] Transformed offer | poste='Data engineer h/f (CDI)' | societe="Mercato de l'emploi" | lieu='Deux-Sèvres, Nouvelle-Aquitaine' | contrat=CDI | seniorite=Confirmé | tech=0
2026-04-19 01:30:17,454 [INFO] Transformed offer | poste='Data Engineer senior - Services Financiers - Lille' | societe='Sopra Steria' | lieu="Villeneuve-d'Ascq, Lille" | contrat=None | seniorite=Senior | tech=1
2026-04-19 01:30:17,455 [INFO] Transformed offer | poste='Data Engineer confirmé(e) - Assurance - Lille' | societe='Sopra Steria' | lieu="Villeneuve-d'Ascq, Lille" | contrat=None | seniorite=Confirmé | tech=1
2026-04-19 01:30:17,457 [INFO] Transformed offer | poste='Data Scientist / Analytics Engineer' | societe='White Circle' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,458 [INFO] Transformed offer | poste='DATA ANALYST EN INDUSTRIE (F/H)' | societe='Expectra' | lieu='Cholet 1er Canton, Cholet' | contrat=CDD | seniorite=None | tech=0
2026-04-19 01:30:17,460 [INFO] Transformed offer | poste='Stage - Data scientist (H/F)' | societe='Equancy | Groupe EDG' | lieu='Paris, Ile-de-France' | contrat=Stage | seniorite=Stage | tech=1
2026-04-19 01:30:17,461 [INFO] Transformed offer | poste='Directeur Data Groupe IA & Analytics' | societe='Informatis-TS' | lieu='France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,462 [INFO] Transformed offer | poste='Data Scientist - Tabular Data' | societe='KLANIK' | lieu='Aube, Grand-Est' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,463 [INFO] Transformed offer | poste='Data Engineer' | societe='Sia' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,465 [INFO] Transformed offer | poste='Data Scientist Senior' | societe='Lincoln' | lieu='Ile-de-France, France' | contrat=None | seniorite=Senior | tech=4
2026-04-19 01:30:17,466 [INFO] Transformed offer | poste='Technical Leader Data Scientist H/F' | societe='Safran' | lieu='Magny-les-Hameaux, Maurepas' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,468 [INFO] Transformed offer | poste='Senior Data analyst / Data scientist' | societe='Oderis' | lieu='2ème Arrondissement, Paris' | contrat=None | seniorite=Senior | tech=1
2026-04-19 01:30:17,469 [INFO] Transformed offer | poste='Data Engineer confirmé - expert PySpark - Services Financiers - Nantes' | societe='Sopra Steria' | lieu='Nantes, Loire-Atlantique' | contrat=None | seniorite=Senior | tech=1
2026-04-19 01:30:17,470 [INFO] Transformed offer | poste='Data Engineer' | societe='HCLTech' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,471 [INFO] Transformed offer | poste='Data Engineer' | societe='Daveo' | lieu='France' | contrat=None | seniorite=None | tech=3
2026-04-19 01:30:17,473 [INFO] Transformed offer | poste='Senior Data Scientist - Blitz' | societe='Voodoo' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=0
